TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr14|14 C1	mouse chr14|14 C1	0.966115610828028	-0.0344717719844934	100	1	0.0012453300124533	803	24177	58809	Rnase4
mouse chr10	mouse chr10	0.966158389651379	-0.0344274937678973	332	6	0.0074719800747198	803	24177	14609,22027,18029,12142,16404,16775	Gja1,Hsp90b1,Nfic,Prdm1,Itga7,Lama4
mouse chrX	mouse chrX	0.968910613997619	-0.0315829169627516	377	7	0.0087173100871731	803	24177	17318,19241,14829,19703,53627,406217,27206	Mid1,Tmsb4x,Grpr,Renbp,Porcn,Bex4,Nrk
mouse chr11|11 C	mouse chr11|11 C	0.972355911921223	-0.0280333770155616	106	1	0.0012453300124533	803	24177	276950	Slfn8
mouse chr2|2 H3	mouse chr2|2 H3	0.974169578731559	-0.0261698850203213	108	1	0.0012453300124533	803	24177	26943	Serinc3
mouse chr9|9 A5.1	mouse chr9|9 A5.1	0.978928075213647	-0.0212971067565843	114	1	0.0012453300124533	803	24177	80902	Zfp202
mouse chr19|19 A	mouse chr19|19 A	0.980460705454137	-0.0197327101772182	315	5	0.0062266500622665	803	24177	69861,225849,114601,68323,18426	2010003K11Rik,Ppp2r5b,Ehbp1l1,Nudt22,Ovol1
mouse chr2|2 E1	mouse chr2|2 E1	0.985978891736591	-0.0141203325837151	126	1	0.0012453300124533	803	24177	228355	Madd
mouse chr13|13 A3.1	mouse chr13|13 A3.1	0.991285148663368	-0.00875304773273594	140	1	0.0012453300124533	803	24177	195208	Dcdc2a
mouse chr7|7 A3	mouse chr7|7 A3	0.992924974567093	-0.0071001721044339	208	2	0.0024906600249066	803	24177	70080,72383	Igsf23,Cnfn
mouse chr14|14	mouse chr14|14	0.996629060730916	-0.00337663368548421	612	10	0.012453300124533	803	24177	12684,50934,13522,58809,192187,74213,23888,16475,15460,30054	Cideb,Slc7a8,Adam28,Rnase4,Stab1,Rbm26,Gpc6,Ajuba,Hr,Rnf17
mouse chr2|2 D	mouse chr2|2 D	0.997838576203189	-0.0021637630445708	181	1	0.0012453300124533	803	24177	21788	Tfpi
mouse chr7|7 E3	mouse chr7|7 E3	0.999779726218455	-0.000220298045377328	248	1	0.0012453300124533	803	24177	20821	Trim21
mouse chr1|1 G3	mouse chr1|1 G3	1.00000000001273	1.27256204871001e-11	33	0	0	803	24177
mouse chr6|6 G3	mouse chr6|6 G3	1.00000000001273	1.27256204871001e-11	33	0	0	803	24177
mouse chr19|19 B	mouse chr19|19 B	1.00000000001273	1.27256204871001e-11	33	0	0	803	24177
mouse chr7 A3|7	mouse chr7 A3|7	1.00000000001273	1.27256204871001e-11	33	0	0	803	24177
mouse chr10|10 B1	mouse chr10|10 B1	1.00000000001273	1.27256204871001e-11	33	0	0	803	24177
mouse chr10 D2|10 66.65 cM	mouse chr10 D2|10 66.65 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 E4|1 59.8 cM	mouse chr1 E4|1 59.8 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 D|11 59.02 cM	mouse chr11 D|11 59.02 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 B1.1|11 27.39 cM	mouse chr11 B1.1|11 27.39 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr16 A1|16 5.61 cM	mouse chr16 A1|16 5.61 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A3.3|X 20.49 cM	mouse chrX A3.3|X 20.49 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr12 E|12 55.76 cM	mouse chr12 E|12 55.76 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 E3|3 36.49 cM	mouse chr3 E3|3 36.49 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 D3|14 41.26 cM	mouse chr14 D3|14 41.26 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A1.3|X 16.44 cM	mouse chrX A1.3|X 16.44 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 C2|10 48.49 cM	mouse chr10 C2|10 48.49 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 B3|5 19.18 cM	mouse chr5 B3|5 19.18 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 F1|7 61.62 cM	mouse chr7 F1|7 61.62 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr18 B3|18 19.67 cM	mouse chr18 B3|18 19.67 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr12 C1|12 23.46 cM	mouse chr12 C1|12 23.46 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 A1|15 5.35 cM	mouse chr15 A1|15 5.35 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 A3.3|13 13.99 cM	mouse chr13 A3.3|13 13.99 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 A2|3 6.15 cM	mouse chr3 A2|3 6.15 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 D|1 47.0 cM	mouse chr1 D|1 47.0 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 B1|13 31.2 cM	mouse chr13 B1|13 31.2 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 A3|5 11.74 cM	mouse chr5 A3|5 11.74 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A1.1|X 3.65 cM	mouse chrX A1.1|X 3.65 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 D2|10 60.3 cM	mouse chr10 D2|10 60.3 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6|6 F1-F2	mouse chr6|6 F1-F2	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 B2.3|6 24.04 cM	mouse chr6 B2.3|6 24.04 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 A3.3|17 13.06 cM	mouse chr17 A3.3|17 13.06 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 H4|1 81.9 cM	mouse chr1 H4|1 81.9 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr16 B3|16 26.4 cM	mouse chr16 B3|16 26.4 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 A1|4 3.68 cM	mouse chr4 A1|4 3.68 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 B1.3|11 33.07 cM	mouse chr11 B1.3|11 33.07 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 F2.2|3 42.89 cM	mouse chr3 F2.2|3 42.89 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 E1|11 67.43 cM	mouse chr11 E1|11 67.43 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 A2|3 6.37 cM	mouse chr3 A2|3 6.37 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 A4|9 20.37 cM	mouse chr9 A4|9 20.37 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A1.1|X 3.51 cM	mouse chrX A1.1|X 3.51 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 F1|9 54.88 cM	mouse chr9 F1|9 54.88 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 A1|7 3.69 cM	mouse chr7 A1|7 3.69 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr8 D3|8 53.08 cM	mouse chr8 D3|8 53.08 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 D2.2|4 61.48 cM	mouse chr4 D2.2|4 61.48 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 B3.1-B3.2|15 16.73 cM	mouse chr15 B3.1-B3.2|15 16.73 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 D1|6 40.3 cM	mouse chr6 D1|6 40.3 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 B5.1|10 34.83 cM	mouse chr10 B5.1|10 34.83 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 B1|7 19.46 cM	mouse chr7 B1|7 19.46 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 A1|7 4.06 cM	mouse chr7 A1|7 4.06 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 D3|15 35.66 cM	mouse chr15 D3|15 35.66 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr8 35.59 cM|8 C1	mouse chr8 35.59 cM|8 C1	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 F1|9 58.17 cM	mouse chr9 F1|9 58.17 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A7.3|X 37.96 cM	mouse chrX A7.3|X 37.96 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 D|11 63.52 cM	mouse chr11 D|11 63.52 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A1.1|X 3.46 cM	mouse chrX A1.1|X 3.46 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 A5|4 21.94 cM	mouse chr4 A5|4 21.94 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 F|5 62.02 cM	mouse chr5 F|5 62.02 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 B2.1|6 20.05 cM	mouse chr6 B2.1|6 20.05 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr2 A3|2 16.36 cM	mouse chr2 A3|2 16.36 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr12 A2|12 9.69 cM	mouse chr12 A2|12 9.69 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 F2|9 60.92 cM	mouse chr9 F2|9 60.92 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 C|9 35.75 cM	mouse chr9 C|9 35.75 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 C2|14 27.9 cM	mouse chr14 C2|14 27.9 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 H5|1 89.13 cM	mouse chr1 H5|1 89.13 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr16 C3.3|16 48.34 cM	mouse chr16 C3.3|16 48.34 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 E3|7 57.92 cM	mouse chr7 E3|7 57.92 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr19 C1|19 21.96 cM	mouse chr19 C1|19 21.96 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 A1|7 4.04 cM	mouse chr7 A1|7 4.04 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 F3|15 58.58 cM	mouse chr15 F3|15 58.58 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 E3|7 56.1 cM	mouse chr7 E3|7 56.1 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 F3|15 58.03 cM	mouse chr15 F3|15 58.03 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 C1|13 40.12 cM	mouse chr13 C1|13 40.12 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr8 C1|8 36.34 cM	mouse chr8 C1|8 36.34 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 H4|3 82.52 cM	mouse chr3 H4|3 82.52 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr12 F1|12 61.37 cM	mouse chr12 F1|12 61.37 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 C6|4 47.27 cM	mouse chr4 C6|4 47.27 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 D3|10 75.21 cM	mouse chr10 D3|10 75.21 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 B3|11 42.93 cM	mouse chr11 B3|11 42.93 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 B4|11 45.09 cM	mouse chr11 B4|11 45.09 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 F1|6 57.82 cM	mouse chr6 F1|6 57.82 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 F1|6 57.49 cM	mouse chr6 F1|6 57.49 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 B2.3|6 24.13 cM	mouse chr6 B2.3|6 24.13 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 D3|15 36.04 cM	mouse chr15 D3|15 36.04 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 E2.3|1 52.29 cM	mouse chr1 E2.3|1 52.29 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr16 C4|16 57.47 cM	mouse chr16 C4|16 57.47 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 C1|14 25.36 cM	mouse chr14 C1|14 25.36 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 A1|7 2.14 cM	mouse chr7 A1|7 2.14 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr16 A3|16 10.46 cM	mouse chr16 A3|16 10.46 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 A3|5 10.67 cM	mouse chr5 A3|5 10.67 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 B1|17 18.58 cM	mouse chr17 B1|17 18.58 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 D2.3|13 66.34 cM	mouse chr13 D2.3|13 66.34 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 A5|4 20.72 cM	mouse chr4 A5|4 20.72 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7|7 F2-F3	mouse chr7|7 F2-F3	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr2 H1|2 77.39 cM	mouse chr2 H1|2 77.39 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 B3|5	mouse chr5 B3|5	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 C4|1 40.89 cM	mouse chr1 C4|1 40.89 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 F4|7 82.95 cM	mouse chr7 F4|7 82.95 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 D2|10 65.34 cM	mouse chr10 D2|10 65.34 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 C|3	mouse chr3 C|3	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 D|1 46.08 cM	mouse chr1 D|1 46.08 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 G1|6 66.25 cM	mouse chr6 G1|6 66.25 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr18 C|18 24.41 cM	mouse chr18 C|18 24.41 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 A1|5 3.39 cM	mouse chr5 A1|5 3.39 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 B3.1|15 15.22 cM	mouse chr15 B3.1|15 15.22 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 F3|7 77.26 cM	mouse chr7 F3|7 77.26 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr18 D1|18 28.25 cM	mouse chr18 D1|18 28.25 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 A1|15 3.82 cM	mouse chr15 A1|15 3.82 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr2 H4|2 103.34 cM	mouse chr2 H4|2 103.34 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 F|5 62.53 cM	mouse chr5 F|5 62.53 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 C3|1 38.41 cM	mouse chr1 C3|1 38.41 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1|1 A1-A2	mouse chr1|1 A1-A2	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 D|11 59.85 cM	mouse chr11 D|11 59.85 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 A3|7 16.68 cM	mouse chr7 A3|7 16.68 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 F1|7 59.99 cM	mouse chr7 F1|7 59.99 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 A3|9 8.04 cM	mouse chr9 A3|9 8.04 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 A3.3|6 12.47 cM	mouse chr6 A3.3|6 12.47 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 C|9	mouse chr9 C|9	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr12 D1|12	mouse chr12 D1|12	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 D1|6 40.42 cM	mouse chr6 D1|6 40.42 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 H4|1 84.44 cM	mouse chr1 H4|1 84.44 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr19 C1|19 28.14 cM	mouse chr19 C1|19 28.14 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 D2|7 44.01 cM	mouse chr7 D2|7 44.01 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 D|11 65.36 cM	mouse chr11 D|11 65.36 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 A1|15 5.6 cM	mouse chr15 A1|15 5.6 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 F2|9 59.81 cM	mouse chr9 F2|9 59.81 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 A3.3|6 14.59 cM	mouse chr6 A3.3|6 14.59 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 A1|13 4.56 cM	mouse chr13 A1|13 4.56 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 E1|5 44.77 cM	mouse chr5 E1|5 44.77 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 D|17 29.39 cM	mouse chr17 D|17 29.39 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 B3|11 40.24 cM	mouse chr11 B3|11 40.24 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 F2|7 64.13 cM	mouse chr7 F2|7 64.13 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 C1|10 41.16 cM	mouse chr10 C1|10 41.16 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 F3|7 82.07 cM	mouse chr7 F3|7 82.07 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 D2|6 43.15 cM	mouse chr6 D2|6 43.15 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr19 D3|19 56.89 cM	mouse chr19 D3|19 56.89 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 B2|13 32.65 cM	mouse chr13 B2|13 32.65 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr2 F3|2 66.64 cM	mouse chr2 F3|2 66.64 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 A3|3 14.65 cM	mouse chr3 A3|3 14.65 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 B1|17 18.24 cM	mouse chr17 B1|17 18.24 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 D|9 40.8 cM	mouse chr9 D|9 40.8 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 B|14 18.75 cM	mouse chr14 B|14 18.75 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr10 38.59 cM|10 C1	mouse chr10 38.59 cM|10 C1	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 C3|4 36.94 cM	mouse chr4 C3|4 36.94 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 B1|17 18.69 cM	mouse chr17 B1|17 18.69 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 A3|3 15.7 cM	mouse chr3 A3|3 15.7 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1|1 A3-A4	mouse chr1|1 A3-A4	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 C1|6 30.56 cM	mouse chr6 C1|6 30.56 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 C2|1 32.82 cM	mouse chr1 C2|1 32.82 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 D1|13 56.92 cM	mouse chr13 D1|13 56.92 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 D3|6	mouse chr6 D3|6	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 E1|15 37.95 cM	mouse chr15 E1|15 37.95 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr8 C3|8 41.55 cM	mouse chr8 C3|8 41.55 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 B|14 20.84 cM	mouse chr14 B|14 20.84 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 F1|9 59.08 cM	mouse chr9 F1|9 59.08 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 E2.1|14 48.25 cM	mouse chr14 E2.1|14 48.25 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 F|5 53.44 cM	mouse chr5 F|5 53.44 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr9 F4|9 74.71 cM	mouse chr9 F4|9 74.71 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr19 B|19 13.83 cM	mouse chr19 B|19 13.83 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 F2|15 56.88 cM	mouse chr15 F2|15 56.88 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr7 B3|7 28.72 cM	mouse chr7 B3|7 28.72 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 C1.2|1 27.98 cM	mouse chr1 C1.2|1 27.98 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 D3|15 35.29 cM	mouse chr15 D3|15 35.29 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 E1|11 67.77 cM	mouse chr11 E1|11 67.77 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 C1|14 22.59 cM	mouse chr14 C1|14 22.59 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr19 A|19 3.85 cM	mouse chr19 A|19 3.85 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 A4|1	mouse chr1 A4|1	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr1 H3|1 79.05 cM	mouse chr1 H3|1 79.05 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11 D|11 62.39 cM	mouse chr11 D|11 62.39 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr8 E2|8	mouse chr8 E2|8	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A1.1|X 3.53 cM	mouse chrX A1.1|X 3.53 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 C|15 19.26 cM	mouse chr15 C|15 19.26 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr13 A1|13 5.28 cM	mouse chr13 A1|13 5.28 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX C3|X 42.69 cM	mouse chrX C3|X 42.69 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 A3.3|17 15.69 cM	mouse chr17 A3.3|17 15.69 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 A2|5	mouse chr5 A2|5	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 D3|4 70.59 cM	mouse chr4 D3|4 70.59 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr19 D2|19 51.13 cM	mouse chr19 D2|19 51.13 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr6 F1|6 57.02 cM	mouse chr6 F1|6 57.02 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 D2|14 36.08 cM	mouse chr14 D2|14 36.08 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chrX A7.3|X 37.95 cM	mouse chrX A7.3|X 37.95 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr3 F1|3 38.84 cM	mouse chr3 F1|3 38.84 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr11|11 D-E1	mouse chr11|11 D-E1	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr2 C3|2 43.76 cM	mouse chr2 C3|2 43.76 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr5 C1|5 28.92 cM	mouse chr5 C1|5 28.92 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 A3|14 16.51 cM	mouse chr14 A3|14 16.51 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr17 D|17 29.72 cM	mouse chr17 D|17 29.72 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr2 B|2 22.84 cM	mouse chr2 B|2 22.84 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr12 F1|12 61.59 cM	mouse chr12 F1|12 61.59 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr14 E2.3|14 53.05 cM	mouse chr14 E2.3|14 53.05 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr15 F3|15 58.08 cM	mouse chr15 F3|15 58.08 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
mouse chr4 B1|4 23.46 cM	mouse chr4 B1|4 23.46 cM	1.0000000000149	1.49027457041484e-11	1	0	0	803	24177
